Task 4: andMaybes :: [Maybe Bool] -> Bool	[]	[Nothing]	[Just False]
\arg0 -> GHC.List.null arg0	True	False	False
\arg0 -> GHC.List.and (Data.Maybe.catMaybes arg0)	True	True	False
\arg0 -> GHC.List.or (Data.Maybe.catMaybes arg0)	False	False	False
\arg0 -> GHC.List.null (Data.Maybe.catMaybes arg0)	True	True	False
\arg0 -> GHC.List.head (Data.Maybe.catMaybes arg0)	Prelude.head: empty list	Prelude.head: empty list	False
\arg0 -> GHC.List.last (Data.Maybe.catMaybes arg0)	Prelude.last: empty list	Prelude.last: empty list	False
\arg0 -> Data.Maybe.isJust (Data.Maybe.listToMaybe arg0)	False	True	True
\arg0 -> Data.Maybe.isNothing (Data.Maybe.listToMaybe arg0)	True	False	False
\arg0 -> GHC.List.null (GHC.List.repeat arg0)	False	False	False
\arg0 -> Data.Maybe.fromJust (GHC.List.head arg0)	Prelude.head: empty list	Maybe.fromJust: Nothing	False